GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,mysqltest.demo.controllers,PaperController,97,54,2,0,24,14,4,4,3,4
demo,mysqltest.demo.controllers,CommentsController,31,3,0,0,8,1,5,1,5,1
demo,mysqltest.demo.controllers,VersionController,5,3,0,0,1,1,1,1,1,1
demo,mysqltest.demo.controllers,LoginController,45,6,12,0,9,1,8,1,2,1
demo,mysqltest.demo.controllers,MainController,55,3,0,0,13,1,5,1,5,1
demo,mysqltest.demo.controllers,TagController,20,3,0,0,4,1,3,1,3,1
demo,mysqltest.demo.config,JwtService,92,3,4,0,24,1,11,1,9,1
demo,mysqltest.demo.config,JwtAuthFilter,63,9,10,0,14,1,6,1,1,1
demo,mysqltest.demo.config,SecurityConfig,0,43,0,0,0,8,0,5,0,5
demo,mysqltest.demo.config,ApplicationConfig,13,30,0,0,0,8,2,5,2,5
demo,mysqltest.demo,DemoApplication,5,8,0,0,2,2,1,2,1,2
demo,mysqltest.demo,DemoApplication.new WebMvcConfigurer() {...},0,38,0,0,0,3,0,2,0,2
demo,mysqltest.demo.auth,RegisterRequest,214,0,38,0,8,0,34,0,15,0
demo,mysqltest.demo.auth,AuthenticationRequest,128,0,22,0,6,0,22,0,11,0
demo,mysqltest.demo.auth,AuthenticationResponse.AuthenticationResponseBuilder,27,0,0,0,1,0,5,0,5,0
demo,mysqltest.demo.auth,AuthenticationResponse,128,0,22,0,6,0,22,0,11,0
demo,mysqltest.demo.auth,RegisterRequest.RegisterRequestBuilder,45,0,0,0,1,0,7,0,7,0
demo,mysqltest.demo.auth,AuthenticationService,82,15,2,0,23,1,3,1,2,1
demo,mysqltest.demo.auth,AuthenticationRequest.AuthenticationRequestBuilder,27,0,0,0,1,0,5,0,5,0
demo,mysqltest.demo.models,Comments,24,0,0,0,10,0,7,0,7,0
demo,mysqltest.demo.models,User,55,15,0,0,21,8,14,4,14,4
demo,mysqltest.demo.models,Version,40,42,0,0,15,18,8,7,8,7
demo,mysqltest.demo.models,Tags,36,0,0,0,16,0,8,0,8,0
demo,mysqltest.demo.models,Paper,52,31,0,0,21,14,9,9,9,9
